Strategies/Actions ,Lead ,Participants 
Complete rapid assessments of all potential barriers in the Gallant River watershed,MSA,NSSA 
Complete 10 in-depth fish passage/habitat assessments at high ranked data-deficient barriers,MSA,NSSA
Removal debris at any additional sites,MSA,
"Complete partial rehabilitation work at 2 already identified priority barriers with the help of NSSA using chutes, baffles",MSA,NSSA
Identify 3 priority barriers that require removal/replacement and send their information to Public Works,MSA,"NSSA, CWF"
Re-run connectivity models with updated habitat and passage assessment data ,CWF ,
