Name,Organization
Micheal Fabiano ,Margaree Salmon Association 
Paul MacNeil ,Margaree Salmon Association 
Thomas Sweeny ,Nova Scotia Salmon Association 
Fielding Montgomery ,Canadian Wildlife Federation 
Nick Mazany-Wright ,Canadian Wildlife Federation 
Nicolas Lapointe ,Canadian Wildlife Federation 
Courtney Brake ,Canadian Wildlife Federation 
Kris Hunter ,Atlantic Salmon Federation 
