Name ,Organization 
Michael Fabiano,Margaree Salmon Association
Paul MacNeil,Margaree Salmon Association
Bill Haley,Margaree Salmon Association
Thomas Sweeney,Nova Scotia Salmon Association
Kris Hunter,Atlantic Salmon Federation
Fielding Montgomery,Canadian Wildlife Federation
Courtney Brake,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
